Time,Input,Position
0,0.8,0
0.0933811396575886,0.8,0.00231779442647399
0.186762279315177,0.8,0.0148644805214096
0.280143418972766,0.8,0.0398490619742288
0.373524558630354,0.8,0.0765872136919382
0.466905698287943,0.8,0.123749663555694
0.560286837945531,0.8,0.179872348426135
0.65366797760312,0.8,0.243482439119702
0.747049117260708,0.8,0.313138410891308
0.840430256918297,0.8,0.387449713470198
0.933811396575886,0.8,0.465090455486442
1.02719253623347,0.8,0.544810289976996
1.12057367589106,0.8,0.625443235132171
1.21395481554865,0.8,0.705914640007628
1.30733595520624,0.8,0.785246402618827
1.40071709486383,0.8,0.862560536461125
1.49409823452142,0.8,0.937081188251762
1.58747937417901,0.8,1.00813521860813
1.68086051383659,0.8,1.07515146501826
1.77424165349418,0.8,1.13765881215151
1.86762279315177,0.8,1.19528319824956
1.96100393280936,0.8,1.24774368812689
2.05438507246695,0.8,1.29484774333418
2.14776621212454,0.8,1.3364858184505
2.24114735178213,0.8,1.37262540943238
2.33452849143971,0.8,1.40330467562442
2.4279096310973,0.8,1.42862575159316
2.52129077075489,0.8,1.44874785855049
2.61467191041248,0.8,1.46388031794514
2.70805305007007,0.8,1.4742755619821
2.80143418972766,0.8,1.48022222752949
2.89481532938525,0.8,1.48203841123663
2.98819646904283,0.8,1.48006515485162
3.08157760870042,0.8,1.47466022081778
3.17495874835801,0.8,1.46619220936245
3.2683398880156,0.8,1.45503505957435
3.36172102767319,0.8,1.44156296849151
3.45510216733078,0.8,1.42614575407359
3.54848330698837,0.8,1.40914468018199
3.64186444664595,0.8,1.39090875439951
3.73524558630354,0.8,1.3717715027374
3.82862672596113,0.8,1.35204821904105
3.92200786561872,0.8,1.33203368124406
4.01538900527631,0.8,1.31200032155492
4.1087701449339,0.8,1.29219683319889
4.20215128459149,0.8,1.2728471924838
4.29553242424907,0.8,1.25415007170471
4.38891356390666,0.8,1.23627861573778
4.48229470356425,0.8,1.21938055307729
4.57567584322184,0.8,1.20357861051932
4.66905698287943,0.8,1.18897119966089
4.76243812253702,0.8,1.17563334283229
4.85581926219461,0.8,1.16361780597716
4.94920040185219,0.8,1.15295640630127
5.04258154150978,0.8,1.14366146318733
5.13596268116737,0.8,1.13572736187821
5.22934382082496,0.8,1.12913220072404
5.32272496048255,0.8,1.12383949432775
5.41610610014014,0.8,1.11979990666865
5.50948723979772,0.8,1.11695299019462
5.60286837945531,0.8,1.11522890891253
5.6962495191129,0.8,1.11455012563698
5.78963065877049,0.8,1.11483303574495
5.88301179842808,0.8,1.11598953199716
5.97639293808567,0.8,1.11792848719512
6.06977407774326,0.8,1.12055714362044
6.16315521740084,0.8,1.12378240032488
6.25653635705843,0.8,1.12751199138539
6.34991749671602,0.8,1.1316555501885
6.44329863637361,0.8,1.13612555664826
6.5366797760312,0.8,1.14083816597796
6.63006091568879,0.8,1.14571391921774
6.72344205534638,0.8,1.15067833716059
6.81682319500396,0.8,1.15566240061254
6.91020433466155,0.8,1.16060292106615
7.00358547431914,0.8,1.16544280685892
7.09696661397673,0.8,1.17013123073067
7.19034775363432,0.8,1.17462370538954
7.28372889329191,0.8,1.17888207424911
7.3771100329495,0.8,1.18287442491468
7.47049117260708,0.8,1.18657493328301
7.56387231226467,0.8,1.18996364628309
7.65725345192226,0.8,1.19302621133596
7.75063459157985,0.8,1.19575356055791
7.84401573123744,0.8,1.19814155758322
7.93739687089503,0.8,1.20019061465077
8.03077801055262,0.8,1.20190528729271
8.1241591502102,0.8,1.20329385359394
8.21754028986779,0.8,1.20436788456845
8.31092142952538,0.8,1.2051418117317
8.40430256918297,0.8,1.20563249744839
8.49768370884056,0.8,1.20585881310939
8.59106484849815,0.8,1.20584122965067
8.68444598815574,0.8,1.20560142437775
8.77782712781332,0.8,1.20516190750912
8.87120826747091,0.8,1.20454567130897
8.9645894071285,0.8,1.20377586414826
9.05797054678609,0.8,1.20287549131974
9.15135168644368,0.8,1.20186714394246
9.24473282610127,0.8,1.20077275682697
9.33811396575886,0.8,1.19961339573895
9.43149510541644,0.8,1.19840907409774
9.52487624507403,0.8,1.19717859878015
9.61825738473162,0.8,1.19593944437019
9.71163852438921,0.8,1.19470765490227
9.8050196640468,0.8,1.19349777189045
9.89840080370439,0.8,1.1923227872184
9.99178194336197,0.8,1.19119411928341
10.0851630830196,0.8,1.19012161064259
10.1785442226772,0.8,1.18911354529839
10.2719253623347,0.8,1.18817668368203
10.3653065019923,0.8,1.18731631334651
10.4586876416499,0.8,1.18653631336154
10.5520687813075,0.8,1.18583923041091
10.6454499209651,0.8,1.18522636462411
10.7388310606227,0.8,1.18469786322734
10.8322122002803,0.8,1.18425282017101
10.9255933399379,0.8,1.18388937997932
11.0189744795954,0.8,1.18360484416993
11.112355619253,0.8,1.18339577870513
11.2057367589106,0.8,1.18325812105883
11.2991178985682,0.8,1.18318728561294
11.3924990382258,0.8,1.18317826623032
11.4858801778834,0.8,1.18322573498804
11.579261317541,0.8,1.18332413619119
11.6726424571986,0.8,1.18346777492318
11.7660235968562,0.8,1.18365089952145
